trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
219	1	1	0	0	-1.75	0	210	80	24	1
220	1	1	0	0	-1.75	0	330	80	4	1
221	1	1	0	0	-1.75	0	90	80	4	1
222	1	1	0	0	-1.75	0	210	80	24	1
223	1	1	0	0	-1.75	0	90	80	4	1
224	1	1	0	0	-1.75	0	330	80	24	1
225	1	1	0	0	-1.75	0	330	80	24	1
226	1	1	0	0	-1.75	0	90	80	4	1
227	1	1	0	0	-1.75	0	210	80	24	1
228	1	1	0	0	-1.75	0	330	80	4	1
229	1	1	0	0	-1.75	0	90	80	4	1
230	1	1	0	0	-1.75	0	210	80	24	1
231	1	1	0	0	-1.75	0	330	80	24	1
232	1	1	0	0	-1.75	0	90	80	4	1
233	1	1	0	0	-1.75	0	210	80	24	1
234	1	1	0	0	-1.75	0	90	80	4	1
235	1	1	0	0	-1.75	0	330	80	4	1
236	1	1	0	0	-1.75	0	210	80	24	1
237	1	1	0	0	-1.75	0	210	80	24	1
238	1	1	0	0	-1.75	0	90	80	4	1
239	1	1	0	0	-1.75	0	330	80	24	1
240	1	1	0	0	-1.75	0	90	80	4	1
241	1	1	0	0	-1.75	0	330	80	4	1
242	1	1	0	0	-1.75	0	210	80	24	1
243	1	1	0	0	-1.75	0	210	80	24	1
244	1	1	0	0	-1.75	0	330	80	24	1
245	1	1	0	0	-1.75	0	90	80	4	1
246	1	1	0	0	-1.75	0	210	80	24	1
247	1	1	0	0	-1.75	0	330	80	4	1
248	1	1	0	0	-1.75	0	90	80	4	1
249	1	1	0	0	-1.75	0	330	80	24	1
250	1	1	0	0	-1.75	0	90	80	4	1
251	1	1	0	0	-1.75	0	210	80	24	1
252	1	1	0	0	-1.75	0	210	80	24	1
253	1	1	0	0	-1.75	0	90	80	4	1
254	1	1	0	0	-1.75	0	330	80	4	1
255	1	1	0	0	-1.75	0	330	80	24	1
256	1	1	0	0	-1.75	0	90	80	4	1
257	1	1	0	0	-1.75	0	210	80	24	1
258	1	1	0	0	-1.75	0	330	80	4	1
259	1	1	0	0	-1.75	0	90	80	4	1
260	1	1	0	0	-1.75	0	210	80	24	1
261	1	1	0	0	-1.75	0	90	80	4	1
262	1	1	0	0	-1.75	0	210	80	24	1
263	1	1	0	0	-1.75	0	330	80	24	1
264	1	1	0	0	-1.75	0	330	80	4	1
265	1	1	0	0	-1.75	0	210	80	24	1
266	1	1	0	0	-1.75	0	90	80	4	1
267	1	1	0	0	-1.75	0	330	80	4	1
268	1	1	0	0	-1.75	0	210	80	24	1
269	1	1	0	0	-1.75	0	90	80	4	1
270	1	1	0	0	-1.75	0	330	80	24	1
271	1	1	0	0	-1.75	0	90	80	4	1
272	1	1	0	0	-1.75	0	210	80	24	1
273	1	1	0	0	-1.75	0	210	80	24	1
274	1	1	0	0	-1.75	0	330	80	4	1
275	1	1	0	0	-1.75	0	90	80	4	1
276	1	1	0	0	-1.75	0	90	80	4	1
277	1	1	0	0	-1.75	0	210	80	24	1
278	1	1	0	0	-1.75	0	330	80	24	1
279	1	1	0	0	-1.75	0	330	80	4	1
280	1	1	0	0	-1.75	0	90	80	4	1
281	1	1	0	0	-1.75	0	210	80	24	1
282	1	1	0	0	-1.75	0	210	80	24	1
283	1	1	0	0	-1.75	0	90	80	4	1
284	1	1	0	0	-1.75	0	330	80	24	1
285	1	1	0	0	-1.75	0	330	80	4	1
286	1	1	0	0	-1.75	0	90	80	4	1
287	1	1	0	0	-1.75	0	210	80	24	1
288	1	1	0	0	-1.75	0	330	80	24	1
289	1	1	0	0	-1.75	0	210	80	24	1
290	1	1	0	0	-1.75	0	90	80	4	1
291	1	1	0	0	-1.75	0	90	80	4	1
