trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
215	0	0	0	0	0	0	320	80	4	1
216	0	0	0	0	0	0	80	80	4	1
217	1	1	0	0	-1.75	0	80	80	4	1
218	0	0	0	0	0	0	80	80	4	1
219	0	0	0	0	0	0	200	80	24	1
220	1	1	0	0	1.75	0	200	80	24	1
221	0	0	0	0	0	0	200	80	24	1
222	0	0	0	0	0	0	320	80	24	1
223	1	1	0	0	-1.75	0	320	80	24	1
224	0	0	0	0	0	0	320	80	24	1
225	0	0	0	0	0	0	80	80	4	1
226	1	1	0	0	1.75	0	80	80	4	1
227	0	0	0	0	0	0	80	80	4	1
228	0	0	0	0	0	0	320	80	24	1
229	1	1	0	0	1.75	0	320	80	24	1
230	0	0	0	0	0	0	320	80	24	1
231	0	0	0	0	0	0	80	80	4	1
232	1	1	0	0	-1.75	0	80	80	4	1
233	0	0	0	0	0	0	80	80	4	1
234	0	0	0	0	0	0	200	80	24	1
235	1	1	0	0	-1.75	0	200	80	24	1
236	0	0	0	0	0	0	200	80	24	1
237	0	0	0	0	0	0	200	80	24	1
238	1	1	0	0	1.75	0	200	80	24	1
239	0	0	0	0	0	0	200	80	24	1
240	0	0	0	0	0	0	320	80	24	1
241	1	1	0	0	-1.75	0	320	80	24	1
242	0	0	0	0	0	0	320	80	24	1
243	0	0	0	0	0	0	80	80	4	1
244	1	1	0	0	1.75	0	80	80	4	1
245	0	0	0	0	0	0	80	80	4	1
246	0	0	0	0	0	0	80	80	4	1
247	1	1	0	0	1.75	0	80	80	4	1
248	0	0	0	0	0	0	80	80	4	1
249	0	0	0	0	0	0	320	80	4	1
250	1	1	0	0	-1.75	0	320	80	4	1
251	0	0	0	0	0	0	320	80	4	1
252	0	0	0	0	0	0	200	80	24	1
253	1	1	0	0	-1.75	0	200	80	24	1
254	0	0	0	0	0	0	200	80	24	1
255	0	0	0	0	0	0	200	80	24	1
256	1	1	0	0	1.75	0	200	80	24	1
257	0	0	0	0	0	0	200	80	24	1
258	0	0	0	0	0	0	320	80	4	1
259	1	1	0	0	1.75	0	320	80	4	1
260	0	0	0	0	0	0	320	80	4	1
261	0	0	0	0	0	0	80	80	4	1
262	1	1	0	0	-1.75	0	80	80	4	1
263	0	0	0	0	0	0	80	80	4	1
264	0	0	0	0	0	0	200	80	24	1
265	1	1	0	0	-1.75	0	200	80	24	1
266	0	0	0	0	0	0	200	80	24	1
267	0	0	0	0	0	0	320	80	24	1
268	1	1	0	0	1.75	0	320	80	24	1
269	0	0	0	0	0	0	320	80	24	1
270	0	0	0	0	0	0	80	80	4	1
271	1	1	0	0	-1.75	0	80	80	4	1
272	0	0	0	0	0	0	80	80	4	1
273	0	0	0	0	0	0	320	80	24	1
274	1	1	0	0	1.75	0	320	80	24	1
275	0	0	0	0	0	0	320	80	24	1
276	0	0	0	0	0	0	80	80	4	1
277	1	1	0	0	-1.75	0	80	80	4	1
278	0	0	0	0	0	0	80	80	4	1
279	0	0	0	0	0	0	200	80	24	1
280	1	1	0	0	1.75	0	200	80	24	1
281	0	0	0	0	0	0	200	80	24	1
282	0	0	0	0	0	0	200	80	24	1
283	1	1	0	0	-1.75	0	200	80	24	1
284	0	0	0	0	0	0	200	80	24	1
285	0	0	0	0	0	0	80	80	4	1
286	1	1	0	0	1.75	0	80	80	4	1
287	0	0	0	0	0	0	80	80	4	1
288	0	0	0	0	0	0	320	80	24	1
289	1	1	0	0	-1.75	0	320	80	24	1
290	0	0	0	0	0	0	320	80	24	1
291	0	0	0	0	0	0	200	80	24	1
292	1	1	0	0	1.75	0	200	80	24	1
293	0	0	0	0	0	0	200	80	24	1
294	0	0	0	0	0	0	320	80	4	1
295	1	1	0	0	1.75	0	320	80	4	1
296	0	0	0	0	0	0	320	80	4	1
297	0	0	0	0	0	0	80	80	4	1
298	1	1	0	0	-1.75	0	80	80	4	1
299	0	0	0	0	0	0	80	80	4	1
300	0	0	0	0	0	0	80	80	4	1
301	1	1	0	0	1.75	0	80	80	4	1
302	0	0	0	0	0	0	80	80	4	1
303	0	0	0	0	0	0	320	80	4	1
304	1	1	0	0	-1.75	0	320	80	4	1
305	0	0	0	0	0	0	320	80	4	1
306	0	0	0	0	0	0	200	80	24	1
307	1	1	0	0	-1.75	0	200	80	24	1
308	0	0	0	0	0	0	200	80	24	1
309	0	0	0	0	0	0	80	80	4	1
310	1	1	0	0	1.75	0	80	80	4	1
311	0	0	0	0	0	0	80	80	4	1
312	0	0	0	0	0	0	320	80	4	1
313	1	1	0	0	-1.75	0	320	80	4	1
314	0	0	0	0	0	0	320	80	4	1
